"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2023","1,800.99","1,822.12","1,831.51","1,774.77","311.24K","-1.14%"
"05/17/2023","1,821.73","1,823.98","1,834.44","1,785.78","376.26K","-0.12%"
"05/16/2023","1,823.98","1,817.11","1,830.01","1,797.60","325.77K","0.38%"
"05/15/2023","1,817.11","1,799.36","1,845.27","1,786.61","405.84K","0.99%"
"05/14/2023","1,799.36","1,795.11","1,822.93","1,791.86","229.74K","0.25%"
"05/13/2023","1,794.95","1,807.31","1,814.55","1,786.23","223.65K","-0.68%"
"05/12/2023","1,807.31","1,794.71","1,812.46","1,741.48","598.87K","0.70%"
"05/11/2023","1,794.71","1,840.92","1,841.04","1,774.30","548.42K","-2.51%"
"05/10/2023","1,840.92","1,846.56","1,886.83","1,797.07","685.11K","-0.31%"
"05/09/2023","1,846.56","1,847.48","1,858.57","1,832.05","318.79K","-0.05%"
"05/08/2023","1,847.48","1,871.03","1,883.54","1,813.63","667.82K","-1.26%"
"05/07/2023","1,870.99","1,896.48","1,931.39","1,870.94","441.65K","-1.34%"
"05/06/2023","1,896.48","1,993.33","2,013.10","1,868.09","658.63K","-4.86%"
"05/05/2023","1,993.33","1,877.06","1,996.64","1,875.66","589.05K","6.19%"
"05/04/2023","1,877.06","1,904.76","1,915.15","1,868.18","372.69K","-1.45%"
"05/03/2023","1,904.74","1,869.74","1,915.00","1,844.72","489.66K","1.87%"
"05/02/2023","1,869.74","1,830.75","1,878.70","1,823.25","391.27K","2.13%"
"05/01/2023","1,830.75","1,869.05","1,885.70","1,807.30","475.92K","-2.04%"
"04/30/2023","1,868.88","1,907.80","1,937.86","1,868.88","377.71K","-2.04%"
"04/29/2023","1,907.80","1,890.93","1,915.90","1,886.27","193.47K","0.88%"
"04/28/2023","1,891.14","1,908.79","1,922.85","1,875.03","408.45K","-0.93%"
"04/27/2023","1,908.81","1,866.05","1,937.55","1,862.37","771.48K","2.29%"
"04/26/2023","1,866.05","1,865.95","1,963.46","1,793.76","958.23K","0.01%"
"04/25/2023","1,865.95","1,841.88","1,877.54","1,804.20","491.98K","1.31%"
"04/24/2023","1,841.88","1,862.04","1,889.09","1,809.80","480.28K","-1.08%"
"04/23/2023","1,862.05","1,873.96","1,881.92","1,839.05","368.77K","-0.63%"
"04/22/2023","1,873.95","1,848.88","1,886.22","1,845.73","351.72K","1.30%"
"04/21/2023","1,849.81","1,942.72","1,955.35","1,831.47","769.94K","-4.78%"
"04/20/2023","1,942.72","1,935.97","1,977.95","1,917.71","665.65K","0.35%"
"04/19/2023","1,935.97","2,103.36","2,104.31","1,925.00","855.36K","-7.96%"
"04/18/2023","2,103.34","2,074.74","2,121.27","2,056.86","437.10K","1.38%"
"04/17/2023","2,074.74","2,118.61","2,119.18","2,062.17","448.14K","-2.10%"
"04/16/2023","2,119.29","2,090.59","2,137.56","2,073.26","342.43K","1.37%"
"04/15/2023","2,090.59","2,099.98","2,110.30","2,074.33","340.60K","-0.45%"
"04/14/2023","2,099.98","2,012.12","2,127.56","2,009.53","957.03K","4.37%"
"04/13/2023","2,012.11","1,916.59","2,018.73","1,899.96","721.56K","4.98%"
"04/12/2023","1,916.58","1,889.86","1,930.46","1,857.35","669.43K","1.41%"
"04/11/2023","1,889.86","1,910.35","1,935.75","1,884.64","428.26K","-1.07%"
"04/10/2023","1,910.36","1,858.90","1,916.53","1,847.39","457.41K","2.77%"
"04/09/2023","1,858.90","1,848.93","1,871.87","1,825.60","306.40K","0.54%"
"04/08/2023","1,848.93","1,863.45","1,879.11","1,847.72","207.67K","-0.78%"
"04/07/2023","1,863.46","1,872.35","1,882.56","1,844.43","298.77K","-0.47%"
"04/06/2023","1,872.35","1,908.95","1,908.95","1,855.89","420.80K","-1.92%"
"04/05/2023","1,908.96","1,870.52","1,936.10","1,864.64","583.84K","2.05%"
"04/04/2023","1,870.52","1,810.77","1,887.33","1,802.51","658.37K","3.30%"
"04/03/2023","1,810.77","1,795.01","1,838.71","1,764.26","657.58K","0.88%"
"04/02/2023","1,795.01","1,820.78","1,824.32","1,775.81","334.84K","-1.42%"
"04/01/2023","1,820.78","1,821.62","1,840.27","1,811.67","283.39K","-0.05%"
"03/31/2023","1,821.62","1,793.59","1,845.54","1,782.26","579.01K","1.56%"
"03/30/2023","1,793.59","1,793.16","1,828.91","1,766.90","607.74K","0.02%"
"03/29/2023","1,793.27","1,772.64","1,825.01","1,772.64","564.93K","1.16%"
