"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2024","0.7330","0.7325","0.7585","0.7020","45.25M","0.17%"
"01/01/2024","0.7318","0.6725","0.7358","0.6711","27.44M","8.80%"
"12/31/2023","0.6726","0.6893","0.7068","0.6678","26.02M","-2.43%"
"12/30/2023","0.6894","0.6872","0.7010","0.6681","22.40M","0.32%"
"12/29/2023","0.6872","0.6839","0.7214","0.6620","42.14M","0.49%"
"12/28/2023","0.6839","0.7377","0.7546","0.6745","48.04M","-7.29%"
"12/27/2023","0.7376","0.7678","0.7691","0.7146","45.08M","-3.93%"
"12/26/2023","0.7678","0.7391","0.7952","0.7114","92.25M","3.88%"
"12/25/2023","0.7391","0.7102","0.7494","0.7040","47.90M","4.07%"
"12/24/2023","0.7102","0.7349","0.7515","0.7000","47.69M","-3.36%"
"12/23/2023","0.7349","0.7211","0.7486","0.7007","43.11M","1.92%"
"12/22/2023","0.7211","0.7615","0.7792","0.7063","64.80M","-5.30%"
"12/21/2023","0.7615","0.7353","0.7636","0.6998","75.88M","3.56%"
"12/20/2023","0.7353","0.7076","0.7874","0.6914","107.03M","3.91%"
"12/19/2023","0.7076","0.7088","0.7437","0.6902","98.91M","-0.17%"
"12/18/2023","0.7088","0.6383","0.7088","0.5939","112.09M","11.05%"
"12/17/2023","0.6383","0.6466","0.6619","0.6192","49.18M","-1.28%"
"12/16/2023","0.6466","0.6692","0.6960","0.6369","76.23M","-3.38%"
"12/15/2023","0.6692","0.7052","0.7500","0.6672","112.65M","-4.91%"
"12/14/2023","0.7038","0.6270","0.7152","0.6240","122.16M","12.25%"
"12/13/2023","0.6270","0.6032","0.6571","0.5691","209.85M","3.95%"
"12/12/2023","0.6032","0.4916","0.6051","0.4908","152.72M","22.70%"
"12/11/2023","0.4916","0.5284","0.5346","0.4680","93.09M","-6.96%"
"12/10/2023","0.5284","0.5135","0.5299","0.5024","37.98M","2.90%"
"12/09/2023","0.5135","0.5378","0.5553","0.5067","58.73M","-4.59%"
"12/08/2023","0.5382","0.5267","0.5443","0.5200","47.30M","2.30%"
"12/07/2023","0.5261","0.5049","0.5360","0.4903","55.80M","4.20%"
"12/06/2023","0.5049","0.5326","0.5433","0.5018","53.13M","-5.15%"
"12/05/2023","0.5323","0.5430","0.5468","0.5157","66.55M","-1.82%"
"12/04/2023","0.5422","0.5577","0.5680","0.5080","114.77M","-2.79%"
"12/03/2023","0.5577","0.5583","0.5842","0.5501","61.10M","-0.11%"
"12/02/2023","0.5583","0.5544","0.5786","0.5409","58.35M","0.71%"
"12/01/2023","0.5544","0.5282","0.5640","0.5222","59.94M","4.92%"
"11/30/2023","0.5284","0.5225","0.5362","0.5159","34.81M","1.12%"
