"DateTime","BTC","ETH","USDT","BNB","SOL","Others"
"2015-02-08 02:00:00",3144923027.5115967,0,0,0,0,717287020.4884032
"2015-02-15 02:00:00",3563295380.392456,0,0,0,0,750334827.607544
"2015-02-22 02:00:00",3390509039.991379,0,0,0,0,680290832.008621
"2015-03-01 02:00:00",3532057898.0522156,0,0,0,0,686712021.9477842
"2015-03-08 02:00:00",3846742946.7407227,0,251600,0,0,609055629.2592773
"2015-03-15 02:00:00",3923339798.5839844,0,251600,0,0,622378777.4160156
"2015-03-22 02:00:00",3629914535.0738525,0,251600,0,0,585183880.9261475
"2015-03-29 02:00:00",3536559217.424011,0,251600,0,0,540579262.5759885
"2015-04-05 03:00:00",3557453026.582718,0,251600,0,0,530905421.4172821
"2015-04-12 03:00:00",3321740501.712799,0,251600,0,0,486738010.2872009
"2015-04-19 03:00:00",3143459666.9929504,0,251600,0,0,467628765.00704974
"2015-04-26 03:00:00",3190796972.6119995,0,251600,0,0,478231427.3880005
"2015-05-03 03:00:00",3315974388.4773254,0,251600,0,0,466614075.52267444
"2015-05-10 03:00:00",3418729921.4042664,0,251600,0,0,453398382.5957336
"2015-05-17 03:00:00",3343946251.615906,0,251600,0,0,431612196.3840942
"2015-05-24 03:00:00",3391917865.0737762,0,451600,0,0,478250438.9262237
"2015-05-31 03:00:00",3314789801.017761,0,451600,0,0,540708678.982239
"2015-06-07 03:00:00",3213393226.0173798,0,451600,0,0,524075173.98262
"2015-06-14 03:00:00",3317074984.510803,0,451600,0,0,534793415.4891967
"2015-06-21 03:00:00",3503877684.199524,0,451600,0,0,707840699.8004761
"2015-06-28 03:00:00",3593902796.839905,0,451600,0,0,719435555.1600952
"2015-07-05 03:00:00",3741659654.0405273,0,451600,0,0,749318633.9594727
"2015-07-12 03:00:00",4213278129.1603084,0,451600,0,0,709820478.8396915
"2015-07-19 03:00:00",3956139971.617126,0,451600,0,0,657178668.3828739
"2015-07-26 03:00:00",4163471698.498535,0,451600,0,0,690646685.5014648
"2015-08-02 03:00:00",4052470132.836914,0,451600,0,0,668848251.1630859
"2015-08-09 03:00:00",3779770679.8141484,42637543.6817404,451600,0,0,643740112.5041113
"2015-08-16 03:00:00",3797323161.026001,102028033.22011477,451600,0,0,645427029.7538843
"2015-08-23 03:00:00",3346765517.6296234,99894340.60007787,451600,0,0,577108445.7702987
"2015-08-30 03:00:00",3345732049.6650696,86145906.39307237,451600,0,0,555610539.941858
"2015-09-06 03:00:00",3424428150.864029,97625195.45412987,451600,0,0,566415117.681841
"2015-09-13 03:00:00",3435997782.156372,76193716.65703154,451600,0,0,568396773.1865964
"2015-09-20 03:00:00",3385770805.6243896,64600034.35187295,451600,0,0,550597592.0237374
"2015-09-27 03:00:00",3431856750.097275,58149531.51865986,451600,0,0,520772070.3840654
"2015-10-04 03:00:00",3502459356.167984,50555947.03601918,451600,0,0,491513064.79599667
"2015-10-11 03:00:00",3599835148.979187,46327504.64286852,451600,0,0,478005778.37794465
"2015-10-18 03:00:00",3991622474.9679565,40550433.25457025,451600,0,0,476325507.7774732
"2015-10-25 03:00:00",4154105118.405151,41781370.99714726,451600,0,0,454501974.5977018
"2015-11-01 02:00:00",4657899149.651337,68477207.23448113,451600,0,0,505971787.1141818
"2015-11-08 02:00:00",5692387997.949219,68254322.67448446,451600,0,0,498885855.37629676
"2015-11-15 02:00:00",4942412592.610168,66590205.75528019,451600,0,0,445075649.6345513
"2015-11-22 02:00:00",4861341321.395874,73378875.25261,451600,0,0,437297963.351516
"2015-11-29 02:00:00",5324603226.489258,68625059.25139889,451600,0,0,460810226.25934327
"2015-12-06 02:00:00",5813290200.201416,65194898.36026383,951600,0,0,507303525.43832016
"2015-12-13 02:00:00",6454429948.207092,73276328.71524382,951600,0,0,628642347.0776639
"2015-12-20 02:00:00",6925021736.923218,68663123.23402718,951600,0,0,561783635.8427551
"2015-12-27 02:00:00",6251439746.040344,64650004.39149579,951600,0,0,535038777.5681596
"2016-01-03 02:00:00",6519493346.664429,71275843.4700698,951600,0,0,548249257.8655012
